property_id,title,price,bedrooms,bathrooms,area_m2,property_type,status,updated_at,created_at
W3OIGPFU3klBwUK1XSjK,"Loft em Curitiba, no bairro Centro Cívico - Referência: 111 - Civitas - Studios",335977.01,1,1,20.37,apartment,active,2025-10-01T21:52:20.592307+00:00,2025-10-01T21:52:20.48775+00:00
W140aQhimWsxUzEcAWYG,"Apartamento em Curitiba, no bairro Tingui - Referência: 305T4 - Jardim dos Manacás",515281.0,2,2,59.93,apartment,active,2025-10-01T21:52:20.399468+00:00,2025-10-01T21:52:20.290862+00:00
VztQuPelKi0XYT8Mc4Qw,"Apartamento em Curitiba, no bairro Bacacheri - Referência: 75B - Condomínio Mood",808901.6,2,2,72.48,apartment,active,2025-10-01T21:52:20.232545+00:00,2025-10-01T21:52:20.15224+00:00
VuN7VeT6LWq1dqvgYkix,"Garden em Curitiba, no bairro Bigorrilho - Referência: 101 - Boutiq",2978010.0,3,5,351.81,garden,active,2025-10-01T21:52:20.07197+00:00,2025-10-01T21:52:19.957948+00:00
VtWPWsmcvifWBt83o5ha,"Apartamento em Curitiba, no bairro Bigorrilho - Referência: 302 - Mytá",2886416.09,3,4,147.84,apartment,active,2025-10-01T21:52:19.893673+00:00,2025-10-01T21:52:19.805063+00:00
VreAsrZbc4p98lgMHGGz,"Loft em Curitiba, no bairro Centro - Referência: 322 - Aya Carlos de Carvalho - Residencial",427790.86,1,1,25.68,apartment,active,2025-10-01T21:52:19.724497+00:00,2025-10-01T21:52:19.635519+00:00
VorEIt5aGRHsi9DklQtm,"Apartamento em Curitiba, no bairro Batel - Referência: 901 - Qoya Residence Curio Collection by Hilton",943803.0,1,1,46.64,apartment,active,2025-10-01T21:52:19.571226+00:00,2025-10-01T21:52:19.474732+00:00
Vkx8oRdhTxLBKGjZhBQT,"Studio em Curitiba, no bairro Boa Vista - Referência: 911 - Idea Studi Inteligenti",289593.12,1,1,25.77,apartment,active,2025-10-01T21:52:19.410122+00:00,2025-10-01T21:52:19.313605+00:00
VjlBhsL6Imew4rMkfi1U,"Apartamento em Curitiba, no bairro Prado Velho - Referência: B204 - Novo Prado Araucária",448667.46,3,2,56.37,apartment,active,2025-10-01T21:52:19.233031+00:00,2025-10-01T21:52:19.144002+00:00
Vc8y4a2UNfHcFDngn2s4,"Garden em Curitiba, no bairro Portão - Referência: 201 - Terrasse Magique",910000.0,3,2,88.71,garden,active,2025-10-01T21:52:18.965893+00:00,2025-10-01T21:52:18.869033+00:00
VQ4fbEJl6C0re1RvwyZo,"Apartamento em Curitiba, no bairro Centro - Referência: 306 - Atmos",465970.13,1,1,30.17,apartment,active,2025-10-01T21:52:18.796554+00:00,2025-10-01T21:52:18.715564+00:00
VBpusadh5XEClgClWois,"Vende apartamento 2 quartos, com suíte. Condomínio Clube. R$ 597.000,00. Bairro Boa Vista, Curitiba -PR",597000.0,2,2,62.3,apartment,active,2025-10-01T21:52:18.651107+00:00,2025-10-01T21:52:18.546606+00:00
VAPpXhjRVyJiJVLE8Jy3,"Apartamento em Curitiba, no bairro Cabral - Referência: 83BL2 - Gaia",1701300.0,2,3,135.9,apartment,active,2025-10-01T21:52:18.4901+00:00,2025-10-01T21:52:18.393384+00:00
V91Z1kPXSfkcWMD3Mb0p,"Apartamento em Curitiba, no bairro Portão - Referência: 501 - Kóra",1535211.09,3,3,116.6,apartment,active,2025-10-01T21:52:18.320666+00:00,2025-10-01T21:52:18.24048+00:00
V6tSR1X5n7pC9p9nuwCR,"Apartamento em Curitiba, no bairro Hauer - Referência: 307 - Condomínio Eleva Hauer Apto 307 Torre 2",485000.0,3,1,54.22,apartment,active,2025-10-01T21:52:18.17625+00:00,2025-10-01T21:52:18.054353+00:00
